id,arrival,deadline,Utilization
0,1,3,1
1,1,4,1
2,1,1,1
3,1,3,1
4,1,1,1
5,1,3,1
6,1,1,1
7,1,2,1
8,1,2,1
9,1,3,1
10,1,2,1
11,1,4,1
12,1,4,1
13,1,4,1
14,1,3,1
15,1,3,1
16,1,4,1
17,1,2,1
18,1,4,1
19,1,1,1
20,1,4,1
21,1,2,1
22,1,4,1
23,1,1,1
24,1,4,1
25,1,4,1
26,1,4,1
27,1,3,1
28,1,1,1
29,1,1,1
30,1,2,1
31,1,1,1
32,1,4,1
33,1,2,1
34,1,4,1
35,1,3,1
36,1,2,1
37,1,3,1
38,1,1,1
39,1,3,1
40,1,4,1
41,1,1,1
42,1,4,1
43,1,4,1
44,1,3,1
45,1,2,1
46,1,2,1
47,1,3,1
48,1,1,1
49,1,2,1
50,2,2,1
51,2,3,1
52,2,4,1
53,2,5,1
54,2,5,1
55,2,5,1
56,2,3,1
57,2,4,1
58,2,4,1
59,2,3,1
60,2,3,1
61,2,4,1
62,2,2,1
63,2,5,1
64,2,3,1
65,2,4,1
66,2,2,1
67,2,4,1
68,2,5,1
69,2,3,1
70,2,3,1
71,2,4,1
72,2,5,1
73,2,2,1
74,2,4,1
75,2,4,1
76,2,2,1
77,2,3,1
78,2,3,1
79,2,2,1
80,2,3,1
81,2,2,1
82,2,3,1
83,2,4,1
84,2,5,1
85,2,2,1
86,2,3,1
87,2,4,1
88,2,5,1
89,2,4,1
90,2,5,1
91,2,5,1
92,2,5,1
93,2,4,1
94,2,2,1
95,2,4,1
96,2,5,1
97,2,5,1
98,2,2,1
99,2,2,1
100,3,5,1
101,3,5,1
102,3,3,1
103,3,5,1
104,3,4,1
105,3,3,1
106,3,5,1
107,3,5,1
108,3,4,1
109,3,4,1
110,3,3,1
111,3,4,1
112,3,5,1
113,3,5,1
114,3,5,1
115,3,5,1
116,3,3,1
117,3,4,1
118,3,3,1
119,3,3,1
120,3,5,1
121,3,4,1
122,3,5,1
123,3,5,1
124,3,5,1
125,3,5,1
126,3,5,1
127,3,5,1
128,3,3,1
129,3,5,1
130,3,5,1
131,3,3,1
132,3,4,1
133,3,5,1
134,3,3,1
135,3,4,1
136,3,5,1
137,3,5,1
138,3,5,1
139,3,3,1
140,3,3,1
141,3,4,1
142,3,5,1
143,3,5,1
144,3,4,1
145,3,3,1
146,3,3,1
147,3,4,1
148,3,5,1
149,3,3,1
150,4,5,1
151,4,5,1
152,4,5,1
153,4,4,1
154,4,5,1
155,4,5,1
156,4,5,1
157,4,5,1
158,4,5,1
159,4,4,1
160,4,5,1
161,4,4,1
162,4,5,1
163,4,5,1
164,4,4,1
165,4,5,1
166,4,5,1
167,4,5,1
168,4,5,1
169,4,5,1
170,4,4,1
171,4,5,1
172,4,5,1
173,4,4,1
174,4,5,1
175,4,4,1
176,4,5,1
177,4,5,1
178,4,5,1
179,4,4,1
180,4,5,1
181,4,4,1
182,4,4,1
183,4,5,1
184,4,5,1
185,4,4,1
186,4,5,1
187,4,4,1
188,4,5,1
189,4,5,1
190,4,5,1
191,4,5,1
192,4,4,1
193,4,5,1
194,4,5,1
195,4,5,1
196,4,5,1
197,4,5,1
198,4,5,1
199,4,5,1
200,5,5,1
201,5,5,1
202,5,5,1
203,5,5,1
204,5,5,1
205,5,5,1
206,5,5,1
207,5,5,1
208,5,5,1
209,5,5,1
210,5,5,1
211,5,5,1
212,5,5,1
213,5,5,1
214,5,5,1
215,5,5,1
216,5,5,1
217,5,5,1
218,5,5,1
219,5,5,1
220,5,5,1
221,5,5,1
222,5,5,1
223,5,5,1
224,5,5,1
225,5,5,1
226,5,5,1
227,5,5,1
228,5,5,1
229,5,5,1
230,5,5,1
231,5,5,1
232,5,5,1
233,5,5,1
234,5,5,1
235,5,5,1
236,5,5,1
237,5,5,1
238,5,5,1
239,5,5,1
240,5,5,1
241,5,5,1
242,5,5,1
243,5,5,1
244,5,5,1
245,5,5,1
246,5,5,1
247,5,5,1
248,5,5,1
249,5,5,1
