id,arrival,deadline,Utilization
0,1,4,9
1,1,3,3
2,1,1,7
3,1,2,6
4,1,1,3
5,1,4,9
6,1,4,2
7,1,4,2
8,1,3,5
9,1,1,6
10,1,2,2
11,1,1,7
12,1,4,5
13,1,3,7
14,1,2,8
15,1,1,2
16,1,3,3
17,1,1,8
18,1,1,3
19,1,1,6
20,1,4,8
21,1,4,3
22,1,2,1
23,1,4,6
24,1,1,4
25,1,1,3
26,1,3,10
27,1,3,8
28,1,1,8
29,1,1,9
30,1,2,8
31,1,1,3
32,1,1,10
33,1,1,9
34,1,4,4
35,1,3,3
36,1,2,9
37,1,3,8
38,1,1,10
39,1,3,1
40,1,1,6
41,1,2,1
42,1,1,7
43,1,1,9
44,1,3,4
45,1,4,1
46,1,1,9
47,1,1,2
48,1,3,10
49,1,3,6
50,2,3,9
51,2,5,7
52,2,4,3
53,2,3,3
54,2,5,8
55,2,2,2
56,2,4,1
57,2,2,4
58,2,3,7
59,2,3,8
60,2,3,5
61,2,2,4
62,2,2,5
63,2,5,6
64,2,5,5
65,2,5,7
66,2,2,3
67,2,5,4
68,2,3,4
69,2,3,8
70,2,5,9
71,2,5,2
72,2,5,7
73,2,3,10
74,2,3,2
75,2,5,10
76,2,2,1
77,2,4,2
78,2,2,2
79,2,2,1
80,2,2,7
81,2,3,2
82,2,4,3
83,2,4,8
84,2,5,6
85,2,4,5
86,2,2,6
87,2,3,7
88,2,3,3
89,2,2,2
90,2,5,3
91,2,2,5
92,2,5,6
93,2,4,1
94,2,4,6
95,2,3,10
96,2,3,9
97,2,4,5
98,2,2,6
99,2,5,3
100,3,5,6
101,3,5,4
102,3,5,7
103,3,4,10
104,3,5,4
105,3,5,6
106,3,3,9
107,3,3,10
108,3,3,10
109,3,5,6
110,3,5,5
111,3,5,3
112,3,4,10
113,3,3,4
114,3,5,7
115,3,3,6
116,3,5,10
117,3,3,8
118,3,5,7
119,3,5,8
120,3,5,8
121,3,5,10
122,3,5,5
123,3,5,5
124,3,5,2
125,3,3,6
126,3,4,5
127,3,5,3
128,3,5,1
129,3,3,2
130,3,5,6
131,3,5,3
132,3,5,3
133,3,5,9
134,3,3,9
135,3,5,3
136,3,4,10
137,3,5,10
138,3,5,5
139,3,4,1
140,3,3,3
141,3,5,8
142,3,5,4
143,3,5,9
144,3,5,3
145,3,4,5
146,3,3,3
147,3,4,3
148,3,5,9
149,3,5,2
150,4,4,5
151,4,5,2
152,4,4,10
153,4,5,7
154,4,5,1
155,4,5,3
156,4,5,1
157,4,5,5
158,4,5,7
159,4,5,7
160,4,5,9
161,4,4,5
162,4,5,8
163,4,4,4
164,4,4,10
165,4,5,3
166,4,5,4
167,4,4,5
168,4,5,9
169,4,4,10
170,4,5,8
171,4,5,9
172,4,5,6
173,4,5,5
174,4,5,4
175,4,5,6
176,4,5,8
177,4,5,8
178,4,5,9
179,4,5,3
180,4,5,4
181,4,4,8
182,4,5,9
183,4,5,2
184,4,5,10
185,4,5,9
186,4,5,1
187,4,5,9
188,4,5,6
189,4,4,9
190,4,4,6
191,4,4,3
192,4,4,8
193,4,5,4
194,4,5,8
195,4,5,4
196,4,5,6
197,4,5,6
198,4,5,4
199,4,4,2
200,5,5,3
201,5,5,10
202,5,5,6
203,5,5,4
204,5,5,4
205,5,5,6
206,5,5,8
207,5,5,7
208,5,5,9
209,5,5,6
210,5,5,1
211,5,5,6
212,5,5,2
213,5,5,2
214,5,5,10
215,5,5,10
216,5,5,5
217,5,5,3
218,5,5,1
219,5,5,2
220,5,5,2
221,5,5,3
222,5,5,3
223,5,5,6
224,5,5,3
225,5,5,3
226,5,5,2
227,5,5,7
228,5,5,10
229,5,5,2
230,5,5,10
231,5,5,4
232,5,5,7
233,5,5,2
234,5,5,1
235,5,5,10
236,5,5,3
237,5,5,7
238,5,5,5
239,5,5,5
240,5,5,2
241,5,5,3
242,5,5,5
243,5,5,1
244,5,5,1
245,5,5,4
246,5,5,5
247,5,5,7
248,5,5,9
249,5,5,3
